ID,Nama_Pelanggan,Tanggal_Pembelian,Jumlah_Pembelian,Kategori_Buku,Harga_Satuan,Total_Harga
TRX004197,"H. Rusman Haryanto, M.Farm",2025-03-14,14,Fiksi,50000,700000
TRX007438,Raharja Nasyiah,2025-04-23,2,Fiksi,50000,100000
TRX009805,Ghani Simbolon,2024-08-09,1,Biografi,55000,55000
TRX004333,Jagapati Latupono,2024-11-10,18,Pelajaran,75000,1350000
TRX000083,Salsabila Lestari,2025-03-25,7,Non-Fiksi,60000,420000
TRX009443,Ir. Galar Riyanti,2024-09-23,8,Komik,40000,320000
TRX003230,Rahmi Wijaya,2025-01-21,1,Non-Fiksi,60000,60000
TRX001312,Puti Kamaria Thamrin,2024-10-04,3,Biografi,55000,165000
TRX007662,"Dr. Raina Natsir, S.Pd",2024-09-03,8,Fiksi,50000,400000
TRX003130,Ir. Chelsea Wulandari,2025-05-01,15,Fiksi,50000,750000
TRX007429,Galar Lazuardi,2025-02-20,5,Komik,40000,200000
TRX000739,Gaduh Latupono,2024-10-01,3,Fiksi,50000,150000
TRX009337,Hardi Megantara,2024-12-29,19,Fiksi,50000,950000
TRX005015,dr. Hari Riyanti,2024-11-03,1,Komik,40000,40000
TRX005687,Kamal Winarno,2024-10-11,15,Komik,40000,600000
TRX009075,Fitria Laksita,2024-08-14,8,Biografi,55000,440000
TRX006796,"Kawaya Yuliarti, S.E.",2024-11-26,2,Fiksi,50000,100000
TRX006756,R.M. Jindra Suwarno,2024-10-23,3,Fiksi,50000,150000
TRX007029,Cengkir Sihotang,2024-11-19,14,Biografi,55000,770000
TRX002820,"Dr. Raina Habibi, S.I.Kom",2024-08-26,14,Pelajaran,75000,1050000
TRX008616,Jayeng Mansur,2024-12-19,11,Pelajaran,75000,825000
TRX001015,Rahman Winarno,2024-10-17,16,Pelajaran,75000,1200000
TRX001115,Dr. Martani Lailasari,2024-07-06,4,Biografi,55000,220000
TRX008460,Silvia Lestari,2024-07-07,20,Fiksi,50000,1000000
TRX006562,Titin Handayani,2024-08-21,5,Biografi,55000,275000
TRX007022,Eli Hutasoit,2025-03-17,14,Biografi,55000,770000
TRX005053,Cut Wulan Prasetya,2025-03-12,16,Pelajaran,75000,1200000
TRX004244,Ami Saefullah,2024-12-15,18,Non-Fiksi,60000,1080000
TRX002999,Kawaya Suwarno,2024-08-24,7,Fiksi,50000,350000
TRX008696,Purwadi Haryanti,2025-02-04,10,Pelajaran,75000,750000
TRX001272,Dr. Pia Melani,2024-09-24,7,Non-Fiksi,60000,420000
TRX008012,Kemal Latupono,2025-03-23,1,Non-Fiksi,60000,60000
TRX007561,Vicky Palastri,2024-06-20,19,Komik,40000,760000
TRX005636,"dr. Puput Gunarto, M.M.",2024-05-13,16,Fiksi,50000,800000
TRX005727,Sutan Irwan Jailani,2024-09-01,19,Non-Fiksi,60000,1140000
TRX007848,"Yance Yolanda, S.H.",2024-10-09,4,Pelajaran,75000,300000
TRX001190,Ami Hartati,2025-01-02,18,Komik,40000,720000
TRX000142,Kamaria Irawan,2024-06-27,2,Fiksi,50000,100000
TRX009558,Zelaya Lazuardi,2024-09-04,1,Biografi,55000,55000
TRX000619,"KH. Dasa Pranowo, M.Farm",2024-05-07,15,Pelajaran,75000,1125000
TRX003242,"Kamaria Suryatmi, S.Farm",2024-10-12,5,Non-Fiksi,60000,300000
TRX000128,Latif Mandala,2024-12-15,20,Non-Fiksi,60000,1200000
TRX007318,"Sutan Rahmat Putra, S.Gz",2024-06-24,11,Pelajaran,75000,825000
TRX008152,dr. Patricia Setiawan,2024-12-11,10,Non-Fiksi,60000,600000
TRX001729,Drs. Ella Sinaga,2024-10-14,2,Komik,40000,80000
TRX003328,"Icha Siregar, M.Farm",2024-09-08,3,Fiksi,50000,150000
TRX001743,Zamira Mulyani,2024-09-30,12,Komik,40000,480000
TRX000800,"Rahman Kuswoyo, S.E.I",2024-11-28,20,Non-Fiksi,60000,1200000
TRX006843,"KH. Hendra Halim, S.T.",2025-04-30,5,Biografi,55000,275000
TRX004768,"Hj. Dian Mustofa, S.H.",2024-09-11,5,Fiksi,50000,250000
TRX008278,Narji Sinaga,2025-04-03,6,Fiksi,50000,300000
TRX000190,"R.A. Vanya Wastuti, S.Sos",2024-06-16,9,Pelajaran,75000,675000
TRX002309,Dinda Permata,2024-06-29,2,Pelajaran,75000,150000
TRX000076,"Embuh Utami, S.Farm",2025-03-18,12,Biografi,55000,660000
TRX007570,Mila Hutagalung,2025-01-21,3,Fiksi,50000,150000
TRX004435,"Putu Iswahyudi, S.Sos",2024-05-26,20,Biografi,55000,1100000
TRX009697,H. Estiawan Uwais,2025-04-06,12,Pelajaran,75000,900000
TRX005188,Nova Simbolon,2024-10-15,17,Pelajaran,75000,1275000
TRX002931,Cut Vicky Iswahyudi,2025-02-26,10,Fiksi,50000,500000
TRX002802,"Michelle Usada, S.I.Kom",2024-06-23,14,Komik,40000,560000
TRX006785,"Puti Wulan Nasyidah, S.Sos",2025-02-20,17,Non-Fiksi,60000,1020000
TRX005136,Ikhsan Prabowo,2024-10-25,18,Pelajaran,75000,1350000
TRX001007,Hasna Sinaga,2025-04-10,19,Pelajaran,75000,1425000
TRX001357,"Tgk. Jessica Pudjiastuti, M.Farm",2024-10-14,17,Komik,40000,680000
TRX003243,Karya Laksita,2025-02-05,14,Komik,40000,560000
TRX002316,"Tgk. Tugiman Zulaika, S.Gz",2024-11-12,9,Biografi,55000,495000
TRX006378,Baktiadi Utami,2024-07-13,8,Biografi,55000,440000
TRX002878,"drg. Agus Maheswara, S.E.",2024-12-22,2,Non-Fiksi,60000,120000
TRX009898,Mutia Adriansyah,2024-08-02,13,Non-Fiksi,60000,780000
TRX007126,Farah Mustofa,2025-02-16,7,Fiksi,50000,350000
TRX003683,"Gada Manullang, S.T.",2024-09-06,9,Biografi,55000,495000
TRX002146,Marwata Tarihoran,2025-02-01,11,Pelajaran,75000,825000
TRX002764,Chelsea Wahyudin,2024-05-13,14,Biografi,55000,770000
TRX006385,"Unggul Yulianti, S.E.",2024-12-29,4,Pelajaran,75000,300000
TRX007833,Harto Utami,2024-10-23,13,Komik,40000,520000
TRX002840,Tari Pradipta,2024-12-17,2,Biografi,55000,110000
TRX000852,Safina Iswahyudi,2025-03-03,5,Komik,40000,200000
TRX003113,"Cinta Adriansyah, S.Kom",2024-07-27,11,Non-Fiksi,60000,660000
TRX004241,Citra Mustofa,2024-08-12,6,Non-Fiksi,60000,360000
TRX007650,R.A. Padma Zulaika,2025-01-25,18,Fiksi,50000,900000
TRX004433,Ajeng Anggriawan,2025-04-10,10,Biografi,55000,550000
TRX008430,"Jasmin Lazuardi, S.Farm",2024-08-17,4,Komik,40000,160000
TRX005245,"Diah Kuswandari, S.Pt",2025-04-06,9,Pelajaran,75000,675000
TRX008446,Harjo Irawan,2024-06-27,6,Non-Fiksi,60000,360000
TRX006314,"Yani Jailani, S.IP",2024-06-02,2,Non-Fiksi,60000,120000
TRX002876,Kartika Salahudin,2024-06-24,17,Pelajaran,75000,1275000
TRX003896,Harjaya Mansur,2024-12-14,5,Komik,40000,200000
TRX001880,"Murti Megantara, S.Pt",2024-06-16,6,Komik,40000,240000
TRX008022,Drs. Adika Suryatmi,2024-08-29,12,Biografi,55000,660000
TRX001641,"Catur Farida, S.I.Kom",2024-10-21,10,Biografi,55000,550000
TRX000224,"Gabriella Utami, S.E.I",2025-04-07,6,Fiksi,50000,300000
TRX001783,Raisa Handayani,2025-03-04,8,Non-Fiksi,60000,480000
TRX004574,"R.A. Clara Januar, S.E.I",2025-01-15,2,Biografi,55000,110000
TRX002902,"R. Lanjar Winarno, S.I.Kom",2024-09-26,12,Komik,40000,480000
TRX008060,Iriana Mandala,2025-04-19,13,Pelajaran,75000,975000
TRX009983,Enteng Yuliarti,2024-05-06,7,Komik,40000,280000
TRX005779,Drajat Puspasari,2024-07-16,10,Non-Fiksi,60000,600000
TRX004631,Ir. Tantri Sudiati,2024-07-01,13,Komik,40000,520000
TRX003253,Victoria Dongoran,2025-03-06,17,Fiksi,50000,850000
TRX005667,"Hj. Ilsa Putra, M.TI.",2024-07-20,14,Non-Fiksi,60000,840000
TRX004494,Drs. Fitriani Wijaya,2024-08-26,2,Pelajaran,75000,150000
TRX002328,Septi Habibi,2025-04-16,11,Fiksi,50000,550000
TRX002027,"KH. Xanana Permadi, M.Kom.",2024-11-12,1,Non-Fiksi,60000,60000
TRX003560,Carla Permadi,2024-10-31,19,Pelajaran,75000,1425000
TRX005752,Suci Riyanti,2024-12-04,4,Fiksi,50000,200000
TRX002462,Karsana Budiman,2025-04-02,19,Fiksi,50000,950000
TRX003499,Jamalia Mustofa,2025-01-27,11,Non-Fiksi,60000,660000
TRX000452,Zelda Purnawati,2025-05-03,8,Biografi,55000,440000
TRX004721,Karimah Palastri,2025-04-01,11,Fiksi,50000,550000
TRX008477,"Cawuk Halimah, S.Pt",2025-01-31,4,Fiksi,50000,200000
TRX003190,Langgeng Hidayat,2025-01-19,17,Pelajaran,75000,1275000
TRX006403,Eluh Pratama,2025-02-12,7,Komik,40000,280000
TRX007239,Virman Halim,2025-01-31,8,Non-Fiksi,60000,480000
TRX004897,"dr. Jono Suwarno, M.TI.",2024-05-07,3,Non-Fiksi,60000,180000
TRX001289,"dr. Indra Wacana, S.Pt",2024-08-24,2,Biografi,55000,110000
TRX002160,"Kawaca Nasyiah, M.Ak",2025-04-23,15,Biografi,55000,825000
TRX004547,Estiawan Hutasoit,2024-09-15,5,Non-Fiksi,60000,300000
TRX006758,Cindy Melani,2024-11-12,1,Biografi,55000,55000
TRX003770,Respati Mangunsong,2025-02-09,4,Pelajaran,75000,300000
TRX008572,Tgk. Hartaka Rahmawati,2024-12-11,15,Non-Fiksi,60000,900000
TRX002178,"Prabowo Yulianti, S.Pt",2024-11-01,20,Biografi,55000,1100000
TRX004791,Tami Fujiati,2025-04-03,19,Non-Fiksi,60000,1140000
TRX007223,"Zulfa Permadi, S.Gz",2025-04-10,3,Komik,40000,120000
TRX001458,Bakianto Fujiati,2024-06-27,20,Fiksi,50000,1000000
TRX003533,Jaeman Suryatmi,2024-09-27,11,Non-Fiksi,60000,660000
TRX006786,Cut Ira Widiastuti,2024-06-19,17,Fiksi,50000,850000
TRX009472,"Sakura Natsir, S.IP",2025-04-05,13,Biografi,55000,715000
TRX000944,Nugraha Mandala,2024-11-22,11,Fiksi,50000,550000
TRX007008,"Ajeng Marpaung, M.Kom.",2024-08-26,2,Non-Fiksi,60000,120000
TRX006504,Putri Maryati,2025-01-31,9,Komik,40000,360000
TRX002581,"H. Eka Marbun, S.I.Kom",2025-01-14,2,Biografi,55000,110000
TRX003785,Pangestu Santoso,2024-05-25,9,Non-Fiksi,60000,540000
TRX000460,"Devi Dabukke, S.Psi",2024-10-30,9,Biografi,55000,495000
TRX001658,"dr. Empluk Novitasari, S.Pt",2024-05-14,8,Pelajaran,75000,600000
TRX002386,Tania Permata,2024-07-23,17,Fiksi,50000,850000
TRX001028,"Bahuwarna Mandasari, M.M.",2024-08-02,1,Pelajaran,75000,75000
TRX005641,Tgk. Asman Mandasari,2025-01-12,11,Non-Fiksi,60000,660000
TRX007379,"Ir. Eli Uwais, S.E.",2024-12-28,8,Komik,40000,320000
TRX004771,Vera Jailani,2024-11-26,10,Biografi,55000,550000
TRX004402,Hj. Tari Latupono,2024-06-26,7,Fiksi,50000,350000
TRX009129,Opung Melani,2024-06-10,3,Biografi,55000,165000
TRX000613,Artawan Budiman,2024-08-26,3,Non-Fiksi,60000,180000
TRX008279,Arsipatra Halimah,2024-10-27,18,Biografi,55000,990000
TRX003875,Kiandra Maryadi,2024-12-06,5,Fiksi,50000,250000
TRX008289,Wadi Firgantoro,2025-01-24,12,Non-Fiksi,60000,720000
TRX007496,KH. Vino Yolanda,2025-03-27,12,Biografi,55000,660000
TRX001022,Genta Sinaga,2024-06-29,19,Komik,40000,760000
TRX009112,Hamzah Simanjuntak,2025-03-01,6,Non-Fiksi,60000,360000
TRX003367,Yunita Hutagalung,2024-08-07,2,Non-Fiksi,60000,120000
TRX005865,dr. Devi Mardhiyah,2024-07-18,12,Komik,40000,480000
TRX006379,"Umay Habibi, S.E.",2024-10-24,19,Pelajaran,75000,1425000
TRX006752,Rangga Maryati,2025-01-10,5,Fiksi,50000,250000
TRX007235,Xanana Wacana,2025-02-12,12,Pelajaran,75000,900000
TRX003989,Tomi Hastuti,2025-04-12,17,Biografi,55000,935000
TRX008080,"Tgk. Vicky Saragih, S.Psi",2024-07-04,17,Komik,40000,680000
TRX000398,Kadir Hasanah,2025-01-29,10,Pelajaran,75000,750000
TRX003845,Gading Pangestu,2024-05-26,17,Non-Fiksi,60000,1020000
TRX009876,Padmi Sihombing,2025-04-29,15,Biografi,55000,825000
TRX001789,"Sarah Prasasta, M.M.",2024-12-11,12,Biografi,55000,660000
TRX007573,Rika Lailasari,2025-01-31,16,Pelajaran,75000,1200000
TRX001116,"KH. Daliman Palastri, S.H.",2025-02-02,19,Pelajaran,75000,1425000
TRX008314,Adiarja Wasita,2024-08-17,8,Komik,40000,320000
TRX004176,Daruna Namaga,2024-09-04,17,Fiksi,50000,850000
TRX003324,Siska Anggriawan,2024-05-29,5,Pelajaran,75000,375000
TRX009292,Ade Wahyuni,2025-02-07,16,Pelajaran,75000,1200000
TRX002023,Zizi Samosir,2025-04-28,6,Non-Fiksi,60000,360000
TRX000181,Danang Nuraini,2024-10-05,8,Biografi,55000,440000
TRX000489,Hari Lestari,2024-11-10,18,Fiksi,50000,900000
TRX004074,Caket Setiawan,2024-10-07,12,Non-Fiksi,60000,720000
TRX009849,Artawan Pradipta,2025-02-26,15,Komik,40000,600000
TRX009087,"Drs. Laras Wahyudin, M.M.",2025-02-12,9,Komik,40000,360000
TRX000981,"Chelsea Prastuti, S.IP",2024-10-24,13,Pelajaran,75000,975000
TRX001884,R.M. Makuta Wijaya,2024-05-09,15,Pelajaran,75000,1125000
TRX000860,Lega Purnawati,2024-10-05,10,Komik,40000,400000
TRX008018,Ibrahim Wijayanti,2024-07-20,16,Pelajaran,75000,1200000
TRX003566,Dasa Siregar,2024-10-10,7,Fiksi,50000,350000
TRX009103,Zizi Sihotang,2025-01-04,17,Pelajaran,75000,1275000
TRX004904,"dr. Naradi Simbolon, S.Psi",2024-07-29,7,Biografi,55000,385000
TRX004480,Humaira Pradipta,2025-01-20,14,Pelajaran,75000,1050000
TRX001035,Warsa Pangestu,2024-06-28,15,Non-Fiksi,60000,900000
TRX000689,Purwadi Padmasari,2025-03-30,7,Fiksi,50000,350000
TRX001763,Chandra Kurniawan,2025-04-05,9,Non-Fiksi,60000,540000
TRX005977,Ihsan Hastuti,2025-03-05,19,Non-Fiksi,60000,1140000
TRX004592,Laila Lazuardi,2025-03-14,16,Biografi,55000,880000
TRX005283,Tgk. Yoga Pranowo,2024-11-23,8,Fiksi,50000,400000
TRX005834,Ina Hariyah,2024-10-17,18,Fiksi,50000,900000
TRX000479,Zulaikha Lazuardi,2024-07-21,18,Fiksi,50000,900000
TRX004038,Candrakanta Sihombing,2024-05-06,20,Fiksi,50000,1000000
TRX008260,"Ir. Azalea Pratama, S.Psi",2024-06-17,7,Fiksi,50000,350000
TRX009217,Bakijan Prayoga,2024-05-31,3,Biografi,55000,165000
TRX008785,Lala Mulyani,2024-06-27,18,Pelajaran,75000,1350000
TRX006169,Murti Salahudin,2025-04-13,10,Non-Fiksi,60000,600000
TRX000768,Yuliana Natsir,2025-03-09,7,Fiksi,50000,350000
TRX001436,Wawan Waskita,2025-03-21,17,Pelajaran,75000,1275000
TRX004996,"Dr. Puti Pudjiastuti, S.H.",2024-07-02,14,Pelajaran,75000,1050000
TRX003950,Jail Jailani,2024-05-15,3,Non-Fiksi,60000,180000
TRX000410,"KH. Cahyono Maheswara, S.Ked",2025-03-20,12,Biografi,55000,660000
TRX008249,Radika Prasetya,2025-03-27,13,Komik,40000,520000
TRX003473,Dalimin Wacana,2024-05-24,2,Komik,40000,80000
TRX006883,Silvia Usamah,2025-04-16,3,Pelajaran,75000,225000
TRX004111,"Bakiadi Padmasari, M.Farm",2025-04-14,5,Non-Fiksi,60000,300000
TRX002117,Yulia Hutagalung,2025-02-08,11,Komik,40000,440000
TRX003118,Atmaja Napitupulu,2025-01-22,8,Pelajaran,75000,600000
TRX007048,"Ibun Mahendra, S.Pt",2024-11-22,12,Biografi,55000,660000
TRX001464,"dr. Dewi Gunarto, M.M.",2024-08-26,7,Komik,40000,280000
TRX006702,Cawisadi Pertiwi,2024-11-16,15,Pelajaran,75000,1125000
TRX008387,Yuni Widodo,2025-04-26,17,Pelajaran,75000,1275000
TRX009238,Ana Wibowo,2024-08-17,4,Fiksi,50000,200000
TRX006141,"Irsad Natsir, S.I.Kom",2024-06-23,13,Biografi,55000,715000
TRX001061,Upik Nashiruddin,2024-10-02,18,Fiksi,50000,900000
TRX000867,Indah Hassanah,2025-03-18,1,Non-Fiksi,60000,60000
TRX005263,Anom Susanti,2024-08-11,16,Fiksi,50000,800000
TRX001908,Ir. Hesti Yuliarti,2025-03-01,13,Fiksi,50000,650000
TRX001010,Najwa Zulkarnain,2025-04-07,10,Komik,40000,400000
TRX000994,drg. Aswani Irawan,2024-12-01,12,Pelajaran,75000,900000
TRX007735,Kiandra Mandala,2024-07-23,2,Biografi,55000,110000
TRX006782,Farah Yuniar,2024-07-23,3,Fiksi,50000,150000
TRX000700,"Dr. Drajat Usamah, M.Pd",2025-02-21,10,Biografi,55000,550000
TRX001167,"Dt. Harjaya Tamba, M.Kom.",2024-07-26,2,Fiksi,50000,100000
TRX001912,KH. Jayeng Situmorang,2024-10-16,13,Non-Fiksi,60000,780000
TRX003296,Drs. Janet Wibisono,2025-03-30,13,Fiksi,50000,650000
TRX000002,Elvina Dongoran,2024-10-27,18,Komik,40000,720000
TRX004595,Rina Prasetya,2025-01-22,3,Pelajaran,75000,225000
TRX006339,Umar Setiawan,2024-12-14,7,Non-Fiksi,60000,420000
TRX008826,Rusman Halimah,2024-09-29,14,Fiksi,50000,700000
TRX007758,Tgk. Pranata Padmasari,2024-05-13,20,Biografi,55000,1100000
TRX007248,Capa Januar,2025-03-07,17,Non-Fiksi,60000,1020000
TRX004610,Maryadi Permadi,2024-11-18,12,Non-Fiksi,60000,720000
TRX008669,Patricia Hakim,2024-07-08,16,Fiksi,50000,800000
TRX003700,"Sutan Kamal Wibisono, S.I.Kom",2025-05-04,12,Non-Fiksi,60000,720000
TRX002826,"R. Elma Prakasa, M.Farm",2025-01-28,15,Biografi,55000,825000
TRX001046,Yani Tamba,2024-11-30,10,Non-Fiksi,60000,600000
TRX006333,Cut Tiara Thamrin,2024-12-26,7,Biografi,55000,385000
TRX005928,Ir. Dinda Pratiwi,2024-10-09,20,Fiksi,50000,1000000
TRX000157,Raihan Lailasari,2024-11-14,5,Pelajaran,75000,375000
TRX001298,T. Cayadi Lestari,2025-02-10,1,Non-Fiksi,60000,60000
TRX007887,Bakijan Hakim,2025-02-16,17,Pelajaran,75000,1275000
TRX003493,Luhung Prasetya,2025-01-07,3,Biografi,55000,165000
TRX003114,Karsa Kuswandari,2024-06-07,13,Non-Fiksi,60000,780000
TRX000327,Gamblang Susanti,2025-01-30,14,Komik,40000,560000
TRX008455,Reksa Mustofa,2024-07-24,18,Pelajaran,75000,1350000
TRX005034,Tina Nugroho,2024-09-30,4,Non-Fiksi,60000,240000
TRX009953,"Tgk. Asmuni Damanik, S.E.I",2024-05-08,18,Pelajaran,75000,1350000
TRX002535,R. Vicky Kusumo,2025-03-31,5,Non-Fiksi,60000,300000
TRX002196,"Drs. Zelda Utama, S.Pt",2024-09-12,16,Fiksi,50000,800000
TRX001900,Tiara Wijayanti,2025-01-08,1,Pelajaran,75000,75000
TRX008494,Rini Januar,2025-01-22,14,Komik,40000,560000
TRX002238,Ilsa Sinaga,2024-08-11,15,Komik,40000,600000
TRX007283,Candrakanta Fujiati,2024-12-26,9,Biografi,55000,495000
TRX009694,"Ir. Yosef Laksita, S.Psi",2025-04-26,15,Non-Fiksi,60000,900000
TRX006731,Nugraha Purwanti,2024-08-24,17,Pelajaran,75000,1275000
TRX001643,"Raisa Tamba, S.H.",2025-04-15,4,Biografi,55000,220000
TRX003633,"Lanjar Natsir, S.Sos",2024-10-20,12,Pelajaran,75000,900000
TRX004739,Uchita Sihombing,2025-04-10,5,Non-Fiksi,60000,300000
TRX008095,Cecep Adriansyah,2025-04-25,5,Komik,40000,200000
TRX009950,"Queen Wijaya, M.Farm",2024-12-23,11,Fiksi,50000,550000
TRX006193,Cemplunk Suartini,2024-06-25,6,Komik,40000,240000
TRX005243,Yessi Suryatmi,2024-05-14,7,Biografi,55000,385000
TRX005361,Manah Pratiwi,2024-12-09,14,Fiksi,50000,700000
TRX005556,Waluyo Mandasari,2024-09-25,11,Biografi,55000,605000
TRX000323,Gamblang Hutagalung,2025-04-26,13,Non-Fiksi,60000,780000
TRX006481,Ganjaran Simanjuntak,2024-10-14,2,Fiksi,50000,100000
TRX001511,Makara Irawan,2024-08-21,7,Biografi,55000,385000
TRX007576,"Hj. Suci Sitorus, M.M.",2024-12-11,20,Non-Fiksi,60000,1200000
TRX002589,Eman Pranowo,2025-02-06,4,Komik,40000,160000
TRX000384,Mustofa Hidayat,2025-03-24,8,Non-Fiksi,60000,480000
TRX005502,Hamima Kurniawan,2024-05-25,20,Pelajaran,75000,1500000
TRX000781,"Ade Hardiansyah, S.Sos",2024-06-18,19,Non-Fiksi,60000,1140000
TRX005259,Uchita Andriani,2025-04-06,13,Non-Fiksi,60000,780000
TRX009975,Tasdik Zulkarnain,2024-07-16,14,Pelajaran,75000,1050000
TRX003818,Keisha Tampubolon,2024-06-30,10,Biografi,55000,550000
TRX005087,dr. Baktianto Kuswandari,2024-08-14,11,Biografi,55000,605000
TRX006771,"Drs. Martana Prasetyo, S.E.",2025-01-01,2,Non-Fiksi,60000,120000
TRX002713,Belinda Firmansyah,2024-09-25,9,Pelajaran,75000,675000
TRX007790,Ayu Simanjuntak,2025-02-25,17,Pelajaran,75000,1275000
TRX002159,Ciaobella Hidayanto,2025-04-06,3,Komik,40000,120000
TRX006127,Ella Waluyo,2024-06-10,6,Biografi,55000,330000
TRX007446,Opan Hutagalung,2025-04-22,5,Fiksi,50000,250000
TRX002696,R. Gandi Riyanti,2024-12-10,5,Biografi,55000,275000
TRX009396,Dr. Tiara Dabukke,2025-05-01,15,Biografi,55000,825000
TRX002190,Safina Marbun,2024-07-27,17,Komik,40000,680000
TRX007091,drg. Endah Habibi,2024-09-27,9,Fiksi,50000,450000
TRX008516,Gamblang Putra,2024-05-24,3,Komik,40000,120000
TRX000578,Hasan Puspasari,2025-03-21,20,Fiksi,50000,1000000
TRX004740,"Titi Namaga, S.T.",2025-01-13,17,Non-Fiksi,60000,1020000
TRX004956,"Eko Salahudin, S.H.",2025-04-15,10,Fiksi,50000,500000
TRX007829,Asirwanda Wijaya,2025-04-09,3,Komik,40000,120000
TRX009335,Drs. Zaenab Lestari,2024-05-05,18,Biografi,55000,990000
TRX005744,Asmadi Tarihoran,2024-06-04,18,Fiksi,50000,900000
TRX002072,Irsad Irawan,2024-06-16,17,Fiksi,50000,850000
TRX003920,Yuni Wijayanti,2025-04-19,3,Pelajaran,75000,225000
TRX007946,"Limar Kuswandari, S.Kom",2024-09-10,3,Biografi,55000,165000
TRX006966,Akarsana Putra,2024-08-26,6,Non-Fiksi,60000,360000
TRX001691,Makuta Siregar,2024-10-04,13,Komik,40000,520000
TRX006668,Jasmani Latupono,2024-06-16,15,Non-Fiksi,60000,900000
TRX005457,Violet Widodo,2024-11-05,9,Biografi,55000,495000
TRX009183,Nurul Wijayanti,2024-09-15,4,Fiksi,50000,200000
TRX005174,Cornelia Yuniar,2025-03-06,14,Fiksi,50000,700000
TRX005190,dr. Cengkal Uwais,2025-04-19,5,Biografi,55000,275000
TRX008820,Kartika Nashiruddin,2024-11-27,2,Fiksi,50000,100000
TRX004611,Aurora Saptono,2025-02-06,11,Fiksi,50000,550000
TRX002879,Nadia Saptono,2025-01-28,9,Fiksi,50000,450000
TRX001755,Raihan Santoso,2025-04-17,3,Komik,40000,120000
TRX001975,Cut Eka Widiastuti,2025-02-04,9,Komik,40000,360000
TRX007017,Bakiadi Winarsih,2025-01-09,3,Pelajaran,75000,225000
TRX002623,Yani Namaga,2024-05-28,2,Non-Fiksi,60000,120000
TRX008667,Usyi Rahmawati,2024-12-01,12,Biografi,55000,660000
TRX008469,Kadir Halim,2025-04-10,10,Biografi,55000,550000
TRX006219,"drg. Yuliana Nurdiyanti, S.Farm",2024-05-23,9,Biografi,55000,495000
TRX004601,Ir. Sakti Kusmawati,2024-07-28,15,Pelajaran,75000,1125000
TRX004633,R.A. Nabila Salahudin,2024-11-24,8,Komik,40000,320000
TRX009926,Harto Firmansyah,2025-02-13,5,Pelajaran,75000,375000
TRX006895,Drs. Umay Maryati,2024-11-18,11,Biografi,55000,605000
TRX001555,"Drs. Murti Safitri, S.E.I",2024-12-15,2,Non-Fiksi,60000,120000
TRX009336,Wasis Hassanah,2025-01-08,15,Fiksi,50000,750000
TRX001832,Warta Marbun,2025-02-23,6,Komik,40000,240000
TRX009475,Respati Nababan,2025-02-11,8,Komik,40000,320000
TRX006417,Artanto Anggraini,2025-02-14,5,Pelajaran,75000,375000
TRX003176,Mahmud Fujiati,2024-05-18,16,Komik,40000,640000
TRX002374,Ridwan Utami,2024-08-24,18,Biografi,55000,990000
TRX002943,Rafid Riyanti,2024-08-12,6,Biografi,55000,330000
TRX009433,Jamalia Hidayat,2025-01-07,5,Pelajaran,75000,375000
TRX008869,Harsanto Puspita,2024-05-31,16,Biografi,55000,880000
TRX007224,Puspa Simbolon,2024-05-28,13,Non-Fiksi,60000,780000
TRX009283,"Tgk. Putri Haryanti, S.Ked",2024-08-22,5,Pelajaran,75000,375000
TRX009596,"H. Leo Rahmawati, M.TI.",2024-05-28,13,Non-Fiksi,60000,780000
TRX005763,"dr. Balidin Agustina, S.E.I",2024-08-18,17,Fiksi,50000,850000
TRX000199,Kasim Rahmawati,2024-08-06,18,Non-Fiksi,60000,1080000
TRX001575,Puti Cici Pratiwi,2024-05-29,8,Fiksi,50000,400000
TRX004564,"R. Panji Suwarno, M.Pd",2024-09-17,13,Fiksi,50000,650000
TRX004486,Laras Saptono,2024-10-09,19,Non-Fiksi,60000,1140000
TRX000808,Safina Laksita,2024-10-01,3,Pelajaran,75000,225000
TRX008551,Ir. Nabila Firgantoro,2025-04-17,8,Biografi,55000,440000
TRX002839,Enteng Waskita,2024-11-18,2,Biografi,55000,110000
TRX007001,Lasmanto Sudiati,2024-09-14,8,Fiksi,50000,400000
TRX002413,"Marsito Wacana, S.Gz",2024-06-03,13,Fiksi,50000,650000
TRX003003,Julia Prakasa,2025-01-26,13,Pelajaran,75000,975000
TRX000011,Panca Kusmawati,2024-07-26,1,Komik,40000,40000
TRX006309,Kasiyah Damanik,2025-03-24,6,Non-Fiksi,60000,360000
TRX008739,Yuliana Sihombing,2024-09-10,19,Fiksi,50000,950000
TRX004141,Indah Lestari,2024-07-18,16,Biografi,55000,880000
TRX008150,"Hj. Cinthia Pradana, S.E.I",2024-11-23,8,Pelajaran,75000,600000
TRX006950,Uli Handayani,2025-01-06,1,Non-Fiksi,60000,60000
TRX008531,"Tgk. Embuh Agustina, M.Ak",2025-01-14,16,Pelajaran,75000,1200000
TRX008542,"Bakidin Nainggolan, M.M.",2024-06-14,9,Non-Fiksi,60000,540000
TRX002326,Vino Wasita,2024-08-19,13,Non-Fiksi,60000,780000
TRX006327,"Nova Maryati, S.I.Kom",2024-11-21,11,Fiksi,50000,550000
TRX006804,"Cut Oliva Manullang, S.Pt",2025-01-10,13,Pelajaran,75000,975000
